iter	RMSE
0	0.3146959253
1	0.3142805687
2	0.3138883415
3	0.3135146161
4	0.3131561668
5	0.3128078479
6	0.3124822415
7	0.3121818846
8	0.3119253286
9	0.3116442944
10	0.3113715765
11	0.3111199646
12	0.310875229
13	0.3106388449
14	0.3104322427
15	0.3102368942
16	0.3100389932
17	0.3098543436
18	0.3096730234
19	0.309503578
20	0.3093464037
21	0.3092030119
22	0.3090634938
23	0.3089318104
24	0.3087977419
25	0.308675872
26	0.3085595709
27	0.3084509774
28	0.3083372054
29	0.3082403367
30	0.3081389958
31	0.3080500616
32	0.3079683023
33	0.3078858256
34	0.3078060914
35	0.3077308419
36	0.3076594727
37	0.3075918749
38	0.3075229315
39	0.3074610839
40	0.3073977699
41	0.3073333591
42	0.3072737335
43	0.3072225752
44	0.3071728551
45	0.3071221311
46	0.3070709699
47	0.3070277169
48	0.3069865214
49	0.3069407262
50	0.3069005881
51	0.3068654833
52	0.3068315791
53	0.3068048529
54	0.3067669218
55	0.3067317903
56	0.3066977883
57	0.3066676457
58	0.3066381957
59	0.306601203
60	0.3065703311
61	0.3065345963
62	0.3065069064
63	0.3064801649
64	0.3064545796
65	0.3064297414
66	0.3064091859
67	0.3063820422
68	0.3063600204
69	0.3063398754
70	0.306322042
71	0.3063071611
72	0.3062909565
73	0.3062715659
74	0.3062549118
75	0.3062362098
76	0.3062208341
77	0.3062096204
78	0.3061934033
79	0.3061778678
80	0.3061628488
81	0.3061477807
82	0.3061313719
83	0.3061189052
84	0.3061066919
85	0.3060860083
86	0.3060714582
87	0.3060530234
88	0.3060394231
89	0.3060283296
90	0.3060226723
91	0.3060100708
92	0.3059999311
93	0.3059887373
94	0.3059750708
95	0.3059637737
96	0.3059519072
97	0.3059399174
98	0.3059261787
99	0.3059188128
100	0.3059070604
101	0.3058934745
102	0.3058786755
103	0.3058679801
104	0.3058611928
105	0.3058498879
106	0.3058393827
107	0.3058300221
108	0.3058173458
109	0.3057999622
110	0.3057944393
111	0.3057859018
112	0.3057781212
113	0.305766978
114	0.305760068
115	0.3057475597
116	0.3057368071
117	0.3057296994
118	0.3057240566
119	0.3057203056
120	0.3057090083
121	0.3056987577
122	0.30568828
123	0.3056802626
124	0.3056729922
125	0.3056633596
126	0.3056513525
127	0.3056426245
128	0.3056355175
129	0.3056285597
130	0.3056234066
131	0.3056193479
132	0.3056129824
133	0.3056033343
134	0.3055935595
135	0.3055862304
136	0.3055777162
137	0.3055715523
138	0.3055656477
139	0.3055622537
140	0.3055563283
141	0.3055502485
142	0.3055416475
143	0.3055336015
144	0.3055224014
145	0.3055173494
146	0.3055074865
147	0.3054982408
148	0.3054898642
149	0.305477858
150	0.3054723181
151	0.305466295
152	0.3054615711
153	0.305456916
154	0.3054482978
155	0.3054400765
156	0.3054310139
157	0.3054292053
158	0.305426966
159	0.3054228597
160	0.3054196637
161	0.3054139953
162	0.3054077919
163	0.3053975701
164	0.3053933386
165	0.3053906101
166	0.305376027
167	0.3053707269
168	0.3053704911
169	0.3053651607
170	0.3053588444
171	0.3053501304
172	0.3053439385
173	0.3053384758
174	0.3053289094
175	0.3053235933
176	0.3053117418
177	0.305305722
178	0.3053033233
179	0.3052965677
180	0.3052949969
181	0.3052887993
182	0.3052845467
183	0.3052802082
184	0.3052721953
185	0.305264363
186	0.3052581635
187	0.3052513738
188	0.305243474
189	0.3052307962
190	0.3052271834
191	0.3052234243
192	0.3052187343
193	0.3052125177
194	0.3052060718
195	0.3052001059
196	0.3051917791
197	0.3051844119
198	0.305179497
199	0.3051773169
200	0.3051762477
201	0.3051672667
202	0.3051644044
