iter	Logloss_SumError	Logloss_SumWeight
0	29629.53834	42998.92067
1	29480.79856	42998.92067
2	29330.10438	42998.92067
3	29186.39714	42998.92067
4	29055.57865	42998.92067
5	28933.4145	42998.92067
6	28812.88372	42998.92067
7	28703.53929	42998.92067
8	28607.71538	42998.92067
9	28511.41586	42998.92067
10	28424.38655	42998.92067
11	28338.98603	42998.92067
12	28254.77778	42998.92067
13	28183.88736	42998.92067
14	28109.09951	42998.92067
15	28044.9418	42998.92067
16	27984.39542	42998.92067
17	27924.34105	42998.92067
18	27872.78761	42998.92067
19	27822.82001	42998.92067
20	27769.76888	42998.92067
21	27719.00655	42998.92067
22	27667.04176	42998.92067
23	27627.95851	42998.92067
24	27584.34392	42998.92067
25	27554.29934	42998.92067
26	27513.46612	42998.92067
27	27478.25795	42998.92067
28	27445.348	42998.92067
29	27411.69964	42998.92067
30	27384.6597	42998.92067
31	27355.0618	42998.92067
32	27331.95433	42998.92067
33	27308.61595	42998.92067
34	27282.81541	42998.92067
35	27256.9602	42998.92067
36	27238.92649	42998.92067
37	27222.1663	42998.92067
38	27205.28345	42998.92067
39	27187.01699	42998.92067
40	27168.76059	42998.92067
41	27146.61305	42998.92067
42	27125.28571	42998.92067
43	27106.57343	42998.92067
44	27095.4929	42998.92067
45	27081.55483	42998.92067
46	27066.99203	42998.92067
47	27053.41232	42998.92067
48	27039.45974	42998.92067
49	27027.20426	42998.92067
50	27015.1884	42998.92067
51	27001.32081	42998.92067
52	26987.48891	42998.92067
53	26976.08814	42998.92067
54	26964.54171	42998.92067
55	26953.91669	42998.92067
56	26944.19694	42998.92067
57	26934.66482	42998.92067
58	26927.29474	42998.92067
59	26916.65982	42998.92067
60	26904.88732	42998.92067
61	26894.97248	42998.92067
62	26884.80797	42998.92067
63	26878.58706	42998.92067
64	26871.82366	42998.92067
65	26863.57096	42998.92067
66	26857.09063	42998.92067
67	26850.50606	42998.92067
68	26842.89562	42998.92067
69	26836.15773	42998.92067
70	26828.72295	42998.92067
71	26822.57425	42998.92067
72	26816.04541	42998.92067
73	26809.68039	42998.92067
74	26802.67264	42998.92067
75	26795.8821	42998.92067
76	26790.66332	42998.92067
77	26784.12635	42998.92067
78	26778.63159	42998.92067
79	26771.84674	42998.92067
80	26766.55792	42998.92067
81	26761.99998	42998.92067
82	26757.81797	42998.92067
