iter	Passed	Remaining
0	1690	16907307
1	3178	15891779
2	3981	13267520
3	4516	11285765
4	6033	12060941
5	7123	11865920
6	8558	12217606
7	9558	11938784
8	10849	12044418
9	12043	12031097
10	13195	11983060
11	14621	12169762
12	15504	11911345
13	16873	12035379
14	18104	12051242
15	19435	12128025
16	20969	12314216
17	22557	12509520
18	23617	12406492
19	24564	12257588
20	25650	12188894
21	27181	12327961
22	28436	12335371
23	29594	12301455
24	31310	12492766
25	32416	12435305
26	34011	12562993
27	35607	12681185
28	36747	12634838
29	38022	12636174
30	39474	12694248
31	40522	12622909
32	41706	12596505
33	43126	12641073
34	44741	12738405
35	46394	12840976
36	48044	12937080
37	49679	13023786
38	51082	13047084
39	52112	12975926
40	53562	13010582
41	55109	13066233
42	56545	13093615
43	57962	13115402
44	59610	13187238
45	61313	13267685
46	62823	13303948
47	64302	13332135
48	66125	13428802
49	67524	13437369
50	68935	13447830
51	70653	13516606
52	72270	13563637
53	73527	13542664
54	75265	13609287
55	76587	13599823
56	77730	13559133
57	79230	13581226
58	80561	13573958
59	82100	13601322
60	83780	13650774
61	85465	13699260
62	87114	13740557
63	88807	13787387
64	90293	13800970
65	92032	13852315
66	93569	13871977
67	94893	13860100
68	96520	13891912
69	98060	13910581
70	99667	13938071
71	101031	13931144
72	102586	13950388
73	104147	13969809
74	105485	13959243
75	107128	13988763
76	108809	14022287
77	110455	14050496
78	112188	14088882
79	113763	14106709
80	115317	14121383
81	116679	14112567
82	118216	14124725
83	119906	14154663
84	121555	14179038
85	123218	14204495
86	124650	14203036
87	125996	14191768
88	127572	14206416
89	128822	14184827
90	129965	14151932
91	131565	14169079
92	133245	14194255
93	134821	14207900
94	136403	14221870
95	137945	14231362
96	139619	14254142
97	141238	14270864
98	142743	14275790
99	144127	14268633
100	145667	14276878
101	147124	14276832
102	148643	14282807
103	150095	14282145
104	151719	14297792
105	153279	14307083
106	154976	14328844
107	156779	14359836
108	158439	14377265
109	160032	14388378
110	161666	14402841
111	163197	14408050
112	164652	14406404
113	166223	14414757
114	167767	14420742
115	169400	14434060
116	170955	14440647
117	172605	14454984
118	174340	14476123
119	175809	14474971
120	177533	14494684
121	179136	14504190
122	180490	14493514
123	182242	14514761
124	183864	14525277
125	185461	14533715
126	187184	14551739
127	188725	14555451
128	190292	14561045
129	191837	14564914
130	193426	14571945
131	194870	14568076
132	196416	14571764
133	197916	14571946
134	199637	14588290
135	201374	14605541
136	203055	14618507
137	204489	14613618
138	205951	14610707
139	207506	14614370
140	209103	14620959
141	210624	14622052
142	212211	14627785
143	213783	14632293
144	215301	14633083
145	216846	14635653
146	218282	14630885
147	219770	14629561
148	221446	14640752
149	223189	14656084
150	224938	14671650
151	226553	14678266
152	228398	14699630
153	230599	14743410
154	232144	14744939
155	233783	14752324
156	235576	14769268
157	237264	14779448
158	238705	14774247
159	240285	14777537
160	241784	14775893
161	243327	14776905
162	245204	14797996
163	246767	14800019
164	248526	14813698
165	250220	14823310
166	251741	14822587
167	253070	14810640
168	254640	14812862
169	256245	14817038
170	257987	14828987
171	259662	14837011
172	260864	14818000
173	262364	14816047
174	263991	14821257
175	266143	14855621
176	268168	14882569
177	269658	14879719
178	270980	14867574
179	272677	14876061
180	274276	14879117
181	275670	14871066
182	277284	14874878
183	278770	14871779
184	280470	14880115
185	282394	14900103
186	284093	14908069
187	285588	14905291
188	287174	14907265
