iter	Passed	Remaining
0	31	3074
1	65	3207
2	106	3450
3	139	3342
4	171	3253
5	206	3228
6	241	3209
7	274	3160
8	305	3090
9	336	3025
10	364	2951
11	395	2898
12	423	2836
13	451	2773
14	482	2733
15	513	2695
16	542	2650
17	576	2627
18	607	2590
19	642	2568
20	674	2538
21	707	2506
22	739	2476
23	771	2444
24	804	2414
25	836	2380
26	865	2339
27	896	2305
28	925	2266
29	969	2261
30	1000	2226
31	1031	2191
32	1061	2154
33	1090	2117
34	1120	2081
35	1149	2043
36	1178	2006
37	1210	1974
38	1240	1940
39	1272	1909
40	1301	1872
41	1330	1836
42	1360	1804
43	1394	1774
44	1425	1742
45	1467	1723
46	1500	1692
47	1534	1661
48	1564	1628
49	1593	1593
50	1622	1559
51	1652	1525
52	1681	1491
53	1711	1458
54	1744	1427
55	1775	1395
56	1806	1362
57	1837	1330
58	1867	1297
59	1895	1263
60	1924	1230
61	1954	1197
62	1985	1166
63	2014	1133
64	2043	1100
65	2074	1068
66	2098	1033
67	2127	1001
68	2159	970
69	2189	938
70	2222	907
71	2251	875
72	2284	844
73	2316	813
74	2347	782
75	2377	750
76	2408	719
77	2439	687
78	2471	656
79	2509	627
80	2555	599
81	2598	570
82	2635	539
83	2670	508
84	2702	476
85	2732	444
86	2765	413
87	2794	381
88	2826	349
89	2859	317
90	2890	285
91	2919	253
92	2948	221
93	2980	190
94	3015	158
95	3045	126
96	3074	95
97	3104	63
98	3132	31
99	3160	0
